
rmaj = 5
	   1        (0.10724667784584450,1.18335916692294853E-002)
           2  (-4.10046377318449007E-002,3.64630100021309800E-002)
           3  (3.69741477263035440E-002,-2.35564760440737757E-002)
           4      (-2.64688346086716098E-002,-0.13538006234527500)
           5  (1.98107355463270525E-002,-8.64618637435309728E-002)
           6  (8.76620017336416854E-003,-3.97393791621838133E-002)
           7  (-2.32206165332365447E-002,4.61081306040573985E-002)
           8  (8.86752795695450596E-002,-5.66852873607980381E-002)
           9  (-3.07544269661858653E-002,1.85313559493621646E-002)
          10  (-2.53179922736824364E-004,1.62182174643103333E-002)
          11              (-5.1353695360690690,3.2716444911105995)

rmaj = 6
           1  (5.88049078359119126E-002,-6.08075142013347614E-002)
           2 (-6.80400429292504771E-002,-2.22680397559946903E-002)
           3   (9.06195770203233886E-002,5.39958939678238381E-002)
           4  (2.32659761425433771E-002,-8.69454125406742828E-002)
           5        (0.11470963380042189,3.42480364600184078E-002)
           6   (5.78314809508519920E-002,2.10876696234793201E-003)
           7 (-9.61071242004200854E-002,-8.54051202591605135E-002)
           8        (0.10797626388458259,9.10137957033181899E-002)
           9  (-2.98949527729116642E-002,3.72429302193196194E-003)
          10  (-1.28621763003356204E-002,1.98495230083654568E-003)
          11             (-12.586083898529848,-7.4996780006510511)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)
          14             (-0.0000000000000000,-0.0000000000000000)
rmaj = 8 
           1       (0.10106233611944350,-3.75022349791667847E-002)
           2  (5.40240548000862995E-003,-5.58966843857817280E-002)
           3       (-2.86555693905051340E-002,0.12570660859430927)
           4       (-0.10682701272990987,1.93554922692267331E-002)
           5        (1.97442602279222328E-002,0.13962988984463104)
           6   (2.98623808950489664E-002,6.80404127109762030E-002)
           7      (-3.98294828970706255E-002,-0.12848394619475006)
           8   (1.22618571282885822E-002,3.44792426312178768E-002)
           9 (-6.94613126464686381E-003,-4.38791153973939682E-002)
          10  (1.19042606010316687E-002,-2.54020736187671493E-002)
          11              (3.9801026558841222,-17.459279414628533)
          12              (-0.0000000000000000,0.0000000000000000)
          13              (-0.0000000000000000,0.0000000000000000)
          14              (-0.0000000000000000,0.0000000000000000)
rmaj = 10
           1   (1.94438560851282888E-002,2.76664187709052406E-002)
           2  (2.32866996245580321E-003,-1.03559918128662918E-002)
           3  (-8.72461497827631098E-003,2.49046430253531369E-002)
           4 (-1.42349295238257470E-002,-1.55996300359494480E-002)
           5  (-4.83181641109599151E-003,2.86653390566010413E-002)
           6   (2.23553556738907396E-003,1.59009875468724901E-002)
           7  (1.55983857765064978E-003,-3.57968282947513650E-002)
           8   (2.37047704969169137E-004,5.88108518696731433E-003)
           9   (9.00971846479451527E-003,3.98812770967833796E-003)
          10 (-5.59093284596376937E-004,-3.21804626823087589E-003)
          11              (1.2117580681080597,-3.4589765351784165)
          12              (-0.0000000000000000,0.0000000000000000)
          13              (-0.0000000000000000,0.0000000000000000)
          14              (-0.0000000000000000,0.0000000000000000)
rmaj = 12
           1   (1.58810343028922066E-002,2.21149029235080223E-002)
           2 (-4.36132253120475027E-003,-8.96750570855360529E-003)
           3   (1.46457757321378588E-002,2.67941427178518543E-002)
           4 (-8.29805081155994876E-004,-1.46333367884064793E-002)
           5   (2.30623085447726889E-002,3.20918616464631115E-002)
           6   (9.07195209182491170E-003,1.45917879487390857E-002)
           7 (-2.48048842427734673E-002,-4.41279301523063230E-002)
           8   (3.26601385846378260E-003,4.97668625682004800E-003)
           9 (-3.56479427911368663E-003,-5.20772372088856546E-004)
          10 (-4.76608668683998430E-003,-3.63825532794656006E-003)
          11             (-2.0344033584343473,-3.7214009609383534)
          12             (-0.0000000000000000,-0.0000000000000000)
          13             (-0.0000000000000000,-0.0000000000000000)
          14             (-0.0000000000000000,-0.0000000000000000)
rmaj = 14
           1   (2.73146198254503939E-002,1.19869080494242781E-002)
           2 (-4.54451262771216318E-003,-8.18466176542965128E-003)
           3   (2.07234120140826240E-002,2.54815216958466095E-002)
           4  (1.13007171252380249E-002,-2.46344855775289910E-002)
           5   (2.57455217344635598E-002,2.70139286937575857E-002)
           6   (7.50644604388627130E-003,1.49021109541494501E-002)
           7 (-1.83725039754284135E-002,-4.68431462311975008E-002)
           8   (1.72715612577398312E-003,1.06921369538343796E-003)
           9 (-9.05224769521624506E-003,-1.11401884143482646E-002)
          10 (-7.42868703558044984E-003,-6.63318538442993384E-003)
          11             (-2.8790421773491874,-3.5389693170335224)
          12               (0.0000000000000000,0.0000000000000000)
          13               (0.0000000000000000,0.0000000000000000)
          14               (0.0000000000000000,0.0000000000000000)
rmaj = 16
           1   (2.03589113499303039E-002,1.58901402016791132E-003)
           2 (-1.53232539984284218E-002,-6.05065389465303180E-003)
           3   (6.40529308545952775E-002,2.63480089594140508E-002)
           4  (8.49628540455443608E-003,-1.02957982932434505E-002)
           5   (7.54021718134970098E-002,4.91413883818172734E-002)
           6   (2.99008961828448744E-002,1.85097685684228117E-002)
           7 (-9.58756460364591778E-002,-5.36636148968444304E-002)
           8   (5.60277203427033722E-003,5.54264731443639656E-003)
           9  (-1.20361537362507955E-002,2.02335072872588534E-003)
          10 (-1.53748093774594263E-002,-2.61975554724452062E-003)
          11             (-8.8971483773902023,-3.6582227930733540)
          12               (0.0000000000000000,0.0000000000000000)
          13               (0.0000000000000000,0.0000000000000000)
          14               (0.0000000000000000,0.0000000000000000)
rmaj = 18
           1   (8.45947702716631778E-003,7.40498150308693467E-003)
           2  (-5.21954782030831493E-003,1.49897273331381919E-002)
           3  (2.74655253233163574E-002,-7.74674643426227355E-002)
           4  (-8.62540170678303443E-003,1.98533717202319798E-002)
           5  (3.04300539001298269E-002,-9.24247988298224077E-002)
           6  (1.18667297200665111E-002,-3.81405618735679505E-002)
           7       (-3.09103584551245723E-002,0.10605917009788006)
           8  (1.55637853600398206E-003,-2.70474573212186155E-003)
           9  (-1.33071878307690090E-002,5.99413702586860248E-002)
          10  (-5.05683770933941078E-003,1.65948192149152109E-002)
          11              (-3.8132902885753062,10.758695408980175)
          12              (0.0000000000000000,-0.0000000000000000)
          13              (0.0000000000000000,-0.0000000000000000)
          14              (0.0000000000000000,-0.0000000000000000)
rmaj = 20 
           1  (-5.42487989102569644E-003,3.28283825007456538E-003)
           2  (-3.24703096178114326E-004,3.27131178981670363E-003)
           3   (3.66389052369457896E-003,1.65067740265094909E-002)
           4  (4.19215359631365317E-002,-1.34588793112253003E-003)
           5       (-0.10350765550130811,1.26304987219744980E-002)
           6 (-2.79470734087968638E-002,-2.68904348238206067E-002)
           7   (7.02087041745265983E-002,7.25436657411230867E-002)
           8 (-1.43477205903024918E-003,-2.97196267310636565E-003)
           9            (0.13299059934744684,-0.12557419503259240)
          10   (9.68443050007888884E-003,2.32614513471037301E-003)
          11            (-0.50801774193003069,-2.2929442378457270)
          12               (0.0000000000000000,0.0000000000000000)
          13               (0.0000000000000000,0.0000000000000000)
          14               (0.0000000000000000,0.0000000000000000)
rmaj = 22
           1  (8.91518023994823834E-003,-3.27497414565918214E-003)
